#DRSE 153 Mpc
#frequency seismic suspension_thermal mirror_thermal quantum quantum_squeezing total
3.440e+00 5.386e-20 3.138e-21 1.167e-23 2.509e-21 5.141e-21 5.401e-20
3.472e+00 5.030e-20 3.050e-21 1.162e-23 2.463e-21 5.047e-21 5.046e-20
3.504e+00 4.699e-20 2.964e-21 1.157e-23 2.418e-21 4.955e-21 4.714e-20
3.536e+00 4.389e-20 2.882e-21 1.152e-23 2.374e-21 4.865e-21 4.405e-20
3.569e+00 4.101e-20 2.803e-21 1.146e-23 2.330e-21 4.777e-21 4.117e-20
3.602e+00 3.831e-20 2.726e-21 1.141e-23 2.288e-21 4.690e-21 3.848e-20
3.635e+00 3.580e-20 2.651e-21 1.136e-23 2.246e-21 4.605e-21 3.596e-20
3.669e+00 3.345e-20 2.579e-21 1.131e-23 2.205e-21 4.521e-21 3.362e-20
3.703e+00 3.126e-20 2.509e-21 1.126e-23 2.164e-21 4.439e-21 3.143e-20
3.737e+00 2.921e-20 2.441e-21 1.121e-23 2.125e-21 4.358e-21 2.939e-20
3.772e+00 2.730e-20 2.376e-21 1.116e-23 2.086e-21 4.279e-21 2.748e-20
3.807e+00 2.552e-20 2.312e-21 1.111e-23 2.048e-21 4.202e-21 2.570e-20
3.842e+00 2.385e-20 2.251e-21 1.106e-23 2.010e-21 4.125e-21 2.404e-20
3.878e+00 2.229e-20 2.191e-21 1.101e-23 1.973e-21 4.050e-21 2.249e-20
3.914e+00 2.084e-20 2.133e-21 1.096e-23 1.937e-21 3.977e-21 2.104e-20
3.950e+00 1.949e-20 2.077e-21 1.091e-23 1.902e-21 3.905e-21 1.969e-20
3.987e+00 1.822e-20 2.023e-21 1.086e-23 1.867e-21 3.834e-21 1.843e-20
4.024e+00 1.704e-20 1.970e-21 1.082e-23 1.833e-21 3.764e-21 1.725e-20
4.061e+00 1.593e-20 1.918e-21 1.077e-23 1.799e-21 3.696e-21 1.615e-20
4.098e+00 1.490e-20 1.869e-21 1.072e-23 1.766e-21 3.629e-21 1.512e-20
